subject,count,link
"oral tradition-north carolina--carteret county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#oral%20tradition-north%20carolina--carteret%20county"
"anecdotes--north carolina--carteret county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#anecdotes--north%20carolina--carteret%20county"
"african americans--folklore--southern states",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#african%20americans--folklore--southern%20states"
"african americans--folklore--african influences",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#african%20americans--folklore--african%20influences"
"carteret county (n.c.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#carteret%20county%20(n.c.)"
"chesnutt, charles waddell, 1858-1932",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#chesnutt,%20charles%20waddell,%201858-1932"
"woodworkers--north carolina--granville county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#woodworkers--north%20carolina--granville%20county"
"potato industry",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#potato%20industry"
"gospel musicians-north carolina--caswell county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#gospel%20musicians-north%20carolina--caswell%20county"
"gastonia (n.c.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#gastonia%20(n.c.)"
"odum, howard washington, 1884-1954",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#odum,%20howard%20washington,%201884-1954"
"johnson, guy benton, 1901-1991",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#johnson,%20guy%20benton,%201901-1991"
"african american folk art",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#african%20american%20folk%20art"
"blue ridge mountains--social life and customs",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#blue%20ridge%20mountains--social%20life%20and%20customs"
"loray mill strike, 1929",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#loray%20mill%20strike,%201929"
"tom davenport films",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#tom%20davenport%20films"
"motion pictures--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#motion%20pictures--north%20carolina"
"editors",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#editors"
"farmers",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#farmers"
"agriculture--economic aspects",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#agriculture--economic%20aspects"
"chapel hill (n.c.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#chapel%20hill%20(n.c.)"
"north carolina--history--19th century",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#north%20carolina--history--19th%20century"
"farm produce--marketing",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#farm%20produce--marketing"
"tattoo artists",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#tattoo%20artists"
"tattooing",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#tattooing"
"women potters",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#women%20potters"
"pottery--folklore",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#pottery--folklore"
"auman, dorothy cole, 1925-1991",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#auman,%20dorothy%20cole,%201925-1991"
"produce trade--north carolina--walnut cove",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#produce%20trade--north%20carolina--walnut%20cove"
"small business--north carolina--walnut cove",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#small%20business--north%20carolina--walnut%20cove"
"hicks, ray, 1922-2003",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#hicks,%20ray,%201922-2003"
"african american oral tradition--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#african%20american%20oral%20tradition--north%20carolina"
"urban renewal",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#urban%20renewal"
